map,N,seed,pure,swap,cnt,cnt_fires,cnt_time
four_rooms,15,0,1,1,1,0,.006581877
four_rooms,15,1,1,1,1,0,.004771718
four_rooms,15,2,1,1,1,0,.004206854
four_rooms,15,3,1,1,1,0,.004204672
four_rooms,15,4,1,1,1,0,.004894916
four_rooms,15,5,1,1,1,0,.004181974
four_rooms,15,6,1,1,1,0,.004157217
four_rooms,15,7,1,1,1,0,.004379948
four_rooms,15,8,1,1,1,0,.003978578
four_rooms,15,9,1,1,1,0,.004106506
four_rooms,15,10,1,1,1,0,.004071175
four_rooms,15,11,1,1,1,0,.004404708
four_rooms,15,12,1,1,1,0,.004357417
four_rooms,15,13,1,1,1,0,.004316553
four_rooms,15,14,1,1,1,0,.004353196
four_rooms,15,15,1,1,1,0,.005900182
four_rooms,15,16,1,1,1,0,.006192517
four_rooms,15,17,1,1,1,0,.006568248
four_rooms,15,18,1,1,1,0,.005613483
four_rooms,15,19,1,1,1,0,.004337838
four_rooms,15,20,1,1,1,0,.004095793
four_rooms,15,21,1,1,1,0,.004996473
four_rooms,15,22,1,1,1,0,.004820492
four_rooms,15,23,1,1,1,0,.005854190
four_rooms,15,24,1,1,1,0,.005015943
four_rooms,15,25,1,1,1,0,.005470069
four_rooms,15,26,1,1,1,0,.006007440
four_rooms,15,27,1,1,1,0,.004394986
four_rooms,15,28,1,1,1,0,.005559623
four_rooms,15,29,1,1,1,0,.007184406
four_rooms,20,0,1,1,1,0,.004975343
four_rooms,20,1,1,1,1,0,.006831619
four_rooms,20,2,1,1,1,0,.006433065
four_rooms,20,3,1,1,1,0,.004329392
four_rooms,20,4,1,1,1,0,.005562632
four_rooms,20,5,1,1,1,0,.004575709
four_rooms,20,6,1,1,1,0,.004591726
four_rooms,20,7,1,1,1,0,.005559045
four_rooms,20,8,1,1,1,0,.006810744
four_rooms,20,9,1,0,1,0,.005489435
four_rooms,20,10,0,1,1,0,.005712987
four_rooms,20,11,0,1,1,0,.005383303
four_rooms,20,12,1,1,1,0,.004982605
four_rooms,20,13,1,1,1,0,.005584130
four_rooms,20,14,1,1,1,0,.004936608
four_rooms,20,15,1,1,1,0,.005975490
four_rooms,20,16,1,1,1,0,.007324422
four_rooms,20,17,1,1,1,0,.005096769
four_rooms,20,18,1,1,1,0,.005036317
four_rooms,20,19,1,1,1,0,.007367647
four_rooms,20,20,1,1,1,0,.007958763
four_rooms,20,21,1,1,1,0,.005375797
four_rooms,20,22,1,1,1,0,.004720655
four_rooms,20,23,1,1,1,0,.005070784
four_rooms,20,24,1,0,1,0,.019675538
four_rooms,20,25,1,1,1,0,.007000858
four_rooms,20,26,1,1,1,0,.008016595
four_rooms,20,27,1,1,1,0,.006993526
four_rooms,20,28,1,1,1,0,.006186871
four_rooms,20,29,1,1,1,0,.007616646
four_rooms,25,0,1,1,1,0,.007137312
four_rooms,25,1,0,1,1,0,.008542267
four_rooms,25,2,0,1,1,0,.007852724
four_rooms,25,3,0,0,1,0,.007938802
four_rooms,25,4,1,1,1,0,.007119163
four_rooms,25,5,1,1,1,0,.007601208
four_rooms,25,6,1,1,1,0,.009766807
four_rooms,25,7,1,1,1,0,.007466585
four_rooms,25,8,1,1,1,0,.006562166
four_rooms,25,9,0,1,1,0,.009656245
four_rooms,25,10,1,1,1,0,.008848117
four_rooms,25,11,0,1,1,0,.008004413
four_rooms,25,12,0,0,1,0,.009684672
