map,N,seed,pure,swap,cnt,cnt_fires,cnt_time
four_rooms,15,0,1,1,1,0,.014063836
four_rooms,15,1,1,1,1,0,.007184562
four_rooms,15,2,1,1,1,0,.005142086
four_rooms,15,3,1,1,1,0,.004169597
four_rooms,15,4,1,1,1,0,.006187106
four_rooms,15,5,1,1,1,0,.004638567
four_rooms,15,6,1,1,1,0,.004787217
four_rooms,15,7,1,1,1,0,.004365500
four_rooms,15,8,1,1,1,0,.006521240
four_rooms,15,9,1,1,1,0,.004690426
four_rooms,15,10,1,1,1,0,.005371651
four_rooms,15,11,1,1,1,0,.004459203
four_rooms,15,12,1,1,1,0,.007653853
four_rooms,15,13,1,1,1,0,.004350063
four_rooms,15,14,1,1,1,0,.006128606
four_rooms,15,15,1,1,1,0,.004570297
four_rooms,15,16,1,1,1,0,.004743062
four_rooms,15,17,1,1,1,0,.006479847
four_rooms,15,18,1,1,1,0,.004267095
four_rooms,15,19,1,1,1,0,.005635908
four_rooms,15,20,1,1,1,0,.005511770
four_rooms,15,21,1,1,1,0,.006344284
four_rooms,15,22,1,1,1,0,.004775025
four_rooms,15,23,1,1,1,0,.004434487
four_rooms,15,24,1,1,1,0,.007107713
four_rooms,15,25,1,1,1,0,.004807920
four_rooms,15,26,1,1,1,0,.008613580
four_rooms,15,27,1,1,1,0,.006728386
four_rooms,15,28,1,1,1,0,.005850822
four_rooms,15,29,1,1,1,0,.005470788
four_rooms,20,0,1,1,1,0,.007011484
four_rooms,20,1,1,1,1,0,.005806808
four_rooms,20,2,1,1,1,0,.006660308
four_rooms,20,3,1,1,1,0,.005219418
four_rooms,20,4,1,1,1,0,.004817670
four_rooms,20,5,1,1,1,0,.006786167
four_rooms,20,6,1,1,1,0,.005350913
four_rooms,20,7,1,1,1,2,.006214935
four_rooms,20,8,1,1,1,0,.006451617
four_rooms,20,9,1,0,1,2,.004954247
four_rooms,20,10,0,1,1,0,.005665262
four_rooms,20,11,0,1,1,1,.005170111
four_rooms,20,12,1,1,1,0,.006279773
four_rooms,20,13,1,1,1,0,.005128140
four_rooms,20,14,1,1,1,0,.008886064
four_rooms,20,15,1,1,1,0,.008885794
four_rooms,20,16,1,1,1,0,.006674076
four_rooms,20,17,1,1,1,0,.005560333
four_rooms,20,18,1,1,1,0,.004898632
four_rooms,20,19,1,1,1,0,.006519255
four_rooms,20,20,1,1,1,0,.005119762
four_rooms,20,21,1,1,1,0,.007025036
four_rooms,20,22,1,1,1,1,.005876446
four_rooms,20,23,1,1,1,0,.005400405
four_rooms,20,24,1,0,1,1,.074523405
four_rooms,20,25,1,1,1,1,.007244690
four_rooms,20,26,1,1,1,0,.005655987
four_rooms,20,27,1,1,1,1,.004838690
four_rooms,20,28,1,1,1,0,.005165088
four_rooms,20,29,1,1,1,0,.007191339
four_rooms,25,0,1,1,1,0,.006191903
four_rooms,25,1,0,1,1,2,.007946304
four_rooms,25,2,0,1,1,1,.006371843
four_rooms,25,3,0,0,1,3,.006286661
four_rooms,25,4,1,1,1,1,.005864156
four_rooms,25,5,1,1,1,1,.009192055
four_rooms,25,6,1,1,1,5,.004963721
four_rooms,25,7,1,1,1,0,.005123949
four_rooms,25,8,1,1,1,2,.007624334
four_rooms,25,9,0,1,1,2,.008647343
four_rooms,25,10,1,1,1,0,.006532379
four_rooms,25,11,0,1,1,2,.006354978
four_rooms,25,12,0,0,1,34,.009464020
four_rooms,25,13,1,1,1,0,.006632625
four_rooms,25,14,1,1,1,2,.004987904
four_rooms,25,15,1,0,1,20,.006791124
four_rooms,25,16,0,1,1,0,.005453668
four_rooms,25,17,1,1,1,0,.004899156
four_rooms,25,18,0,1,1,1,.007391242
four_rooms,25,19,1,1,1,0,.006018850
four_rooms,25,20,0,0,0,1,.006947950
four_rooms,25,21,1,1,1,0,.005759772
four_rooms,25,22,0,1,1,0,.005806744
four_rooms,25,23,1,1,1,0,.005972015
four_rooms,25,24,0,1,1,1,.008625750
four_rooms,25,25,0,0,0,1,.010203341
four_rooms,25,26,0,0,0,2,.006690604
four_rooms,25,27,0,1,1,1,.005770490
four_rooms,25,28,0,1,1,3,.007867053
four_rooms,25,29,1,1,1,0,.005743432
four_rooms,30,0,0,0,1,3,.090980577
four_rooms,30,1,0,0,0,133,.013464804
four_rooms,30,2,1,0,1,2,.030720213
four_rooms,30,3,0,0,0,3,.012509207
four_rooms,30,4,1,1,1,6,.008282155
four_rooms,30,5,0,0,1,3,.058671522
four_rooms,30,6,1,1,1,8,.007953136
four_rooms,30,7,0,1,1,51,.008866229
four_rooms,30,8,0,0,0,10,.010775293
four_rooms,30,9,0,1,1,4,.006787147
four_rooms,30,10,0,0,1,3,.075032806
four_rooms,30,11,0,0,0,2,.096541472
four_rooms,30,12,0,0,0,1,.006971009
four_rooms,30,13,0,0,1,5,.007616953
four_rooms,30,14,0,0,0,8,.083598381
four_rooms,30,15,0,1,0,4,.011423800
four_rooms,30,16,0,0,1,5,.006143250
four_rooms,30,17,0,0,1,4,.007109642
four_rooms,30,18,0,1,1,5,.007359768
four_rooms,30,19,0,0,1,6,.007044878
four_rooms,30,20,0,0,0,4,.011297501
four_rooms,30,21,1,1,1,3,.009532897
four_rooms,30,22,1,1,1,5,.007708324
four_rooms,30,23,0,1,1,3,.007413146
four_rooms,30,24,0,0,0,1,.010382269
four_rooms,30,25,0,0,0,2,.007949915
four_rooms,30,26,0,1,0,3,.009578449
four_rooms,30,27,0,1,0,29,.012128800
four_rooms,30,28,0,1,1,3,.006812001
four_rooms,30,29,0,0,1,5,.007823845
four_rooms,35,0,0,0,0,2,.007894867
four_rooms,35,1,0,0,0,5,.031805075
four_rooms,35,2,0,0,1,16,.118036083
four_rooms,35,3,0,0,1,17,.094599102
four_rooms,35,4,0,1,0,43,.012449011
four_rooms,35,5,0,0,0,19,.068749738
four_rooms,35,6,0,0,0,3,.059177184
four_rooms,35,7,0,0,0,5,.009020838
four_rooms,35,8,0,0,0,12,.012746347
four_rooms,35,9,0,0,0,2,.008922864
four_rooms,35,10,0,0,0,2,.075150446
four_rooms,35,11,0,0,0,2,.007240544
four_rooms,35,12,0,0,0,12,.014148300
four_rooms,35,13,0,1,0,3,.012987929
four_rooms,35,14,0,0,0,18,.014965525
four_rooms,35,15,0,1,0,126,.015042634
four_rooms,35,16,0,0,0,3,.008103203
four_rooms,35,17,0,0,1,46,.060642179
four_rooms,35,18,0,0,0,15,.075086032
four_rooms,35,19,0,0,1,26,.011215552
four_rooms,35,20,0,0,0,4,.009460201
four_rooms,35,21,1,1,0,3,.010263419
four_rooms,35,22,0,1,0,6,.012979538
four_rooms,35,23,0,0,1,33,.011902664
four_rooms,35,24,0,0,0,2,.007237069
four_rooms,35,25,0,0,0,2,.006965664
four_rooms,35,26,0,0,1,19,.008793786
four_rooms,35,27,0,0,0,5,.088137886
four_rooms,35,28,0,0,0,7,.012816283
four_rooms,35,29,0,1,0,4,.013057102
four_rooms,40,0,0,0,0,3,.007324194
four_rooms,40,1,0,0,0,3,.013460326
four_rooms,40,2,0,0,0,5,.071666467
four_rooms,40,3,0,0,0,13,.016139245
four_rooms,40,4,0,0,0,61,.028261620
four_rooms,40,5,0,0,0,17,.013635562
four_rooms,40,6,0,0,0,78,.158700554
four_rooms,40,7,0,0,0,28,.014689776
four_rooms,40,8,0,0,0,11,.014887412
four_rooms,40,9,0,0,0,2,.009474053
four_rooms,40,10,0,0,0,2,.023608019
four_rooms,40,11,0,0,0,39,.143028493
four_rooms,40,12,0,0,0,64,.015637390
four_rooms,40,13,0,0,0,2,.104757384
four_rooms,40,14,0,0,0,15,.015768275
four_rooms,40,15,0,0,0,4,.063646279
four_rooms,40,16,0,0,0,5,.011429263
four_rooms,40,17,0,0,0,14,.090917991
four_rooms,40,18,0,0,0,81,.082880111
four_rooms,40,19,0,0,0,2,.010218756
four_rooms,40,20,0,0,0,6,.009711964
four_rooms,40,21,0,0,0,147,.071069707
four_rooms,40,22,0,0,0,40,.032258023
four_rooms,40,23,0,0,0,8,.028440051
four_rooms,40,24,0,0,0,3,.008229814
four_rooms,40,25,0,0,0,3,.008140098
four_rooms,40,26,0,0,0,3,.009818293
four_rooms,40,27,0,0,0,23,.017450150
four_rooms,40,28,0,0,0,9,.015523271
four_rooms,40,29,0,0,0,22,.036611693
roomfull,15,0,0,1,1,1,.009618913
roomfull,15,1,0,0,0,2,.015817928
roomfull,15,2,1,1,1,0,.006866858
roomfull,15,3,1,1,1,0,.005167195
roomfull,15,4,0,0,1,0,.005313850
roomfull,15,5,1,1,1,0,.006075602
roomfull,15,6,1,1,1,0,.006115099
roomfull,15,7,1,1,1,0,.005820130
roomfull,15,8,1,1,1,0,.005400903
roomfull,15,9,1,1,1,0,.005789462
roomfull,15,10,1,1,1,0,.005071815
roomfull,15,11,1,1,1,0,.004728502
roomfull,15,12,1,1,1,0,.005731115
roomfull,15,13,1,1,1,0,.004957810
roomfull,15,14,1,1,1,0,.006079310
roomfull,15,15,1,1,1,0,.009807906
roomfull,15,16,1,1,1,0,.005817007
roomfull,15,17,1,1,1,0,.005809453
roomfull,15,18,1,1,1,0,.005018050
roomfull,15,19,1,1,1,0,.007087386
roomfull,15,20,1,1,1,0,.006439913
roomfull,15,21,1,1,1,0,.006755609
roomfull,15,22,1,1,1,0,.005347924
roomfull,15,23,1,1,1,0,.005516195
roomfull,15,24,1,1,1,0,.005500618
roomfull,15,25,1,1,1,0,.005016557
roomfull,15,26,1,1,1,0,.006068974
roomfull,15,27,1,1,1,0,.006474793
roomfull,15,28,1,1,1,0,.006048143
roomfull,15,29,1,1,1,2,.005527409
roomfull,20,0,0,0,0,30,.011365681
roomfull,20,1,0,0,1,5,.006925334
roomfull,20,2,1,1,1,1,.005655599
roomfull,20,3,1,1,1,0,.006011129
roomfull,20,4,1,1,1,2,.006208805
roomfull,20,5,1,1,1,1,.006134677
roomfull,20,6,1,1,1,0,.006594776
roomfull,20,7,0,1,1,0,.006224339
roomfull,20,8,1,1,1,0,.008688169
roomfull,20,9,1,1,1,1,.007637268
roomfull,20,10,1,1,1,0,.006401695
roomfull,20,11,1,1,1,0,.005967819
roomfull,20,12,1,1,1,0,.006146386
roomfull,20,13,1,1,1,0,.005936430
roomfull,20,14,1,1,1,0,.005781342
roomfull,20,15,0,1,1,0,.006058921
roomfull,20,16,0,1,1,0,.006557668
roomfull,20,17,1,1,1,0,.006866238
roomfull,20,18,1,1,1,0,.005306048
roomfull,20,19,1,1,1,0,.008113517
roomfull,20,20,0,0,0,21,.030217143
roomfull,20,21,1,1,1,0,.006441633
roomfull,20,22,1,1,1,0,.005401085
roomfull,20,23,1,1,1,0,.005164153
roomfull,20,24,1,1,1,0,.006197790
roomfull,20,25,1,1,1,0,.008067970
roomfull,20,26,1,1,1,0,.005827892
roomfull,20,27,1,1,1,0,.006327522
roomfull,20,28,1,1,1,0,.005887664
roomfull,20,29,1,1,1,1,.005568735
roomfull,25,0,0,0,0,60,.008310222
roomfull,25,1,0,1,0,3,.006776411
roomfull,25,2,0,1,1,0,.006560584
roomfull,25,3,0,0,1,1,.006281632
roomfull,25,4,1,0,1,1,.006904538
roomfull,25,5,0,0,0,23,.029863667
roomfull,25,6,0,1,1,1,.006817801
roomfull,25,7,0,0,1,0,.005758002
roomfull,25,8,0,0,1,0,.006588278
roomfull,25,9,0,1,1,1,.007254012
roomfull,25,10,1,1,1,0,.006578936
roomfull,25,11,1,1,1,0,.006207783
roomfull,25,12,1,1,1,0,.008010733
roomfull,25,13,0,1,1,2,.007421392
roomfull,25,14,1,1,1,0,.007402942
roomfull,25,15,1,1,1,0,.006159641
roomfull,25,16,0,1,1,1,.008087591
roomfull,25,17,0,0,1,0,.008318674
roomfull,25,18,1,0,1,3,.009430735
roomfull,25,19,1,1,1,0,.005939308
roomfull,25,20,0,0,1,0,.005957891
roomfull,25,21,1,1,1,1,.009670362
roomfull,25,22,0,0,1,1,.006475299
roomfull,25,23,1,1,1,0,.005818020
roomfull,25,24,0,0,0,9,.029070215
roomfull,25,25,0,1,1,4,.010524415
roomfull,25,26,1,1,1,0,.005934450
roomfull,25,27,0,0,1,4,.006823957
roomfull,25,28,1,1,1,0,.006290071
roomfull,25,29,0,0,0,22,.092958428
roomfull,30,0,0,0,0,24,.013942004
roomfull,30,1,0,0,0,25,.065514063
roomfull,30,2,0,0,0,1,.006619662
roomfull,30,3,0,1,1,1,.006433988
roomfull,30,4,1,0,1,3,.008145973
roomfull,30,5,0,0,0,1,.006422657
roomfull,30,6,0,0,1,1,.006755672
roomfull,30,7,0,0,0,61,.102065289
roomfull,30,8,0,0,0,0,.046759721
roomfull,30,9,0,0,0,24,.071080215
roomfull,30,10,0,0,0,19,.011859608
roomfull,30,11,0,1,0,19,.011504699
roomfull,30,12,0,0,1,0,.007465858
roomfull,30,13,0,0,1,14,.006965908
roomfull,30,14,0,1,1,5,.007575784
roomfull,30,15,0,0,1,1,.006031890
roomfull,30,16,0,0,1,13,.008425408
roomfull,30,17,0,0,1,1,.068244949
roomfull,30,18,0,0,0,4,.014893247
roomfull,30,19,0,0,0,0,.048286125
roomfull,30,20,0,0,0,10,.073869864
roomfull,30,21,0,1,1,0,.008466949
roomfull,30,22,0,0,1,1,.007657762
roomfull,30,23,0,0,0,0,.005321485
roomfull,30,24,0,0,0,33,.016962133
roomfull,30,25,0,0,1,2,.007869965
roomfull,30,26,0,0,0,1,.006068581
roomfull,30,27,0,0,0,0,.005996079
roomfull,30,28,0,0,0,0,.031537713
roomfull,30,29,0,0,0,4,.008942282
roomfull,35,0,0,0,0,0,.005629502
roomfull,35,1,0,0,0,2,.056475336
roomfull,35,2,0,0,0,1,.041963552
roomfull,35,3,0,0,0,2,.007129640
roomfull,35,4,0,0,0,1,.078640684
roomfull,35,5,0,0,0,1,.005778077
roomfull,35,6,0,0,0,2,.066571394
roomfull,35,7,0,0,0,5,.023471337
roomfull,35,8,0,0,0,2,.022369729
roomfull,35,9,0,0,0,4,.013906139
roomfull,35,10,0,0,0,3,.006632320
roomfull,35,11,0,0,0,3,.005686951
roomfull,35,12,0,0,0,1,.004732885
roomfull,35,13,0,0,0,1,.021824399
roomfull,35,14,0,0,0,1,.005338032
roomfull,35,15,0,0,0,2,.006961245
roomfull,35,16,0,0,0,5,.022374000
roomfull,35,17,0,0,0,1,.081723119
roomfull,35,18,0,0,0,3,.054430467
roomfull,35,19,0,0,0,1,.067891088
