map,N,pure,swap,counter
Berlin_1_256,20,0,0,0
Berlin_1_256,30,0,0,0
Boston_0_256,20,0,0,0
Boston_0_256,30,0,0,0
Paris_1_256,20,0,0,0
Paris_1_256,30,0,0,0
andy_scenario,20,18,25,25
andy_scenario,30,37,26,26
brc202d,20,0,0,0
brc202d,30,0,0,0
connector,20,FAIL,FAIL,FAIL
connector,30,FAIL,FAIL,FAIL
corners,20,FAIL,FAIL,FAIL
corners,30,FAIL,FAIL,FAIL
crossing,20,30,23,23
crossing,30,34,36,36
deadlock5,20,7,8,8
deadlock5,30,FAIL,FAIL,FAIL
deadlock_test,20,25,2262190,2139170
deadlock_test,30,FAIL,FAIL,FAIL
demo_rooms,20,44,36,36
demo_rooms,30,60,47,47
den312d,20,105,105,105
den312d,30,105,105,105
den520d,20,0,0,0
den520d,30,0,0,0
empty-16-16,20,23,23,23
empty-16-16,30,23,23,23
empty-32-32,20,42,42,42
empty-32-32,30,47,47,47
empty-48-48,20,65,65,65
empty-48-48,30,65,65,65
empty-8-8,20,7,7,7
empty-8-8,30,13,11,11
flow,20,26,30,30
flow,30,56,17,807168
four_rooms,20,65,67,67
four_rooms,30,67,1264052,600332
full,20,72,99,99
full,30,132,112,112
ht_chantry,20,185,185,185
ht_chantry,30,185,185,185
ht_mansion_n,20,199,199,199
ht_mansion_n,30,199,199,199
lak303d,20,354,354,354
lak303d,30,365,365,365
loop-chain,20,FAIL,FAIL,FAIL
loop-chain,30,FAIL,FAIL,FAIL
lt_gallowstemplar_n,20,253,253,253
lt_gallowstemplar_n,30,253,253,253
maze-128-128-1,20,0,0,0
maze-128-128-1,30,0,0,0
maze-128-128-10,20,374,374,374
maze-128-128-10,30,377,377,377
maze-128-128-2,20,1554,1554,1554
maze-128-128-2,30,1554,1554,1554
maze-32-32-2,20,122,122,122
maze-32-32-2,30,122,122,122
maze-32-32-4,20,92,92,92
maze-32-32-4,30,92,92,92
orz900d,20,0,0,0
orz900d,30,0,0,0
ost003d,20,339,339,339
ost003d,30,339,339,339
proper_test,20,25,28,28
proper_test,30,32,34,34
queue_test,20,32,29,29
queue_test,30,39,48,48
random-32-32-10,20,44,44,44
random-32-32-10,30,44,44,44
random-32-32-20,20,46,46,46
random-32-32-20,30,50,48,48
random-64-64-10,20,84,84,84
random-64-64-10,30,86,86,86
random-64-64-20,20,102,102,102
random-64-64-20,30,102,102,102
random-8-8-20,20,19,19,19
random-8-8-20,30,41,35,35
room-32-32-4,20,49,49,49
room-32-32-4,30,48,48,48
room-64-64-16,20,166,166,166
room-64-64-16,30,166,166,166
room-64-64-8,20,135,135,135
room-64-64-8,30,135,135,135
room_corridor,20,27,26,26
room_corridor,30,39,37,37
roomfull,20,7,7,7
roomfull,30,8,8,8
string,20,FAIL,FAIL,FAIL
string,30,FAIL,FAIL,FAIL
three_rooms,20,45,29,29
three_rooms,30,167,303,303
tiny_deadlock,20,FAIL,FAIL,FAIL
tiny_deadlock,30,FAIL,FAIL,FAIL
tree,20,FAIL,FAIL,FAIL
tree,30,FAIL,FAIL,FAIL
tunnel,20,FAIL,FAIL,FAIL
tunnel,30,FAIL,FAIL,FAIL
two_entrance,20,16,20,20
two_entrance,30,29,25,25
w_woundedcoast,20,0,0,0
w_woundedcoast,30,0,0,0
warehouse-10-20-10-2-1,20,160,160,160
warehouse-10-20-10-2-1,30,163,163,163
warehouse-10-20-10-2-2,20,184,184,184
warehouse-10-20-10-2-2,30,184,184,184
warehouse-20-40-10-2-1,20,0,0,0
warehouse-20-40-10-2-1,30,0,0,0
warehouse-20-40-10-2-2,20,364,364,364
warehouse-20-40-10-2-2,30,364,364,364
