map,N,pure,swap,counter
four_rooms,20,65,67,67
four_rooms,26,X,77,71
four_rooms,30,X,X,89
demo_rooms,20,44,36,36
demo_rooms,26,42,46,46
demo_rooms,30,60,47,47
three_rooms,20,X,X,X
three_rooms,26,X,X,X
three_rooms,30,X,X,X
room_corridor,20,27,26,26
room_corridor,26,28,38,38
room_corridor,30,39,37,37
full,20,72,99,99
full,26,91,106,106
full,30,132,112,112
two_entrance,20,16,20,20
two_entrance,26,22,24,24
two_entrance,30,29,25,25
queue_test,20,32,29,29
queue_test,26,29,34,34
queue_test,30,39,48,48
crossing,20,30,23,23
crossing,26,22,24,24
crossing,30,34,36,36
proper_test,20,25,28,28
proper_test,26,33,27,27
proper_test,30,32,34,34
andy_scenario,20,18,25,25
andy_scenario,26,25,32,32
andy_scenario,30,37,26,26
room-32-32-4,20,49,49,49
room-32-32-4,26,48,48,48
room-32-32-4,30,48,48,48
room-64-64-8,20,135,135,135
room-64-64-8,26,135,135,135
room-64-64-8,30,135,135,135
