nohup: ignoring input
done four_rooms N=15
done four_rooms N=20
done four_rooms N=25
done four_rooms N=30
done four_rooms N=35
done four_rooms N=40
done roomfull N=15
done roomfull N=20
done roomfull N=25
done roomfull N=30
done roomfull N=35
done roomfull N=40
done flow N=15
done flow N=20
done flow N=25
done flow N=30
done flow N=35
done flow N=40
done deadlock5 N=15
done deadlock5 N=20
done deadlock5 N=25
done deadlock5 N=30
done deadlock5 N=35
done deadlock5 N=40
done room_corridor N=15
done room_corridor N=20
done room_corridor N=25
done room_corridor N=30
done room_corridor N=35
done room_corridor N=40
done demo_rooms N=15
done demo_rooms N=20
done demo_rooms N=25
done demo_rooms N=30
done demo_rooms N=35
done demo_rooms N=40
done full N=15
done full N=20
done full N=25
done full N=30
done full N=35
done full N=40
=== DONE -> full_sweep_v3.csv ===
